SetorEconomico,Subsetor,Empresa,Codigo
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",3R PETROLEUM,RRRP
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",COSAN       ,CSAN
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",DOMMO,DMMO
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ENAUTA PART,ENAT
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PET MANGUINH,RPMG
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS   ,PETR
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETRORECSA ,RECV
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETRORIO,PRIO
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ULTRAPAR    ,UGPA
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",VIBRA,VBBR
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",LUPATECH    ,LUPA
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OCEANPACT,OPCT
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OSX BRASIL  ,OSXB
Materiais Básicos,Materiais Básicos,AURA 360,AURA
Materiais Básicos,Materiais Básicos,BRADESPAR   ,BRAP
Materiais Básicos,Materiais Básicos,CBA,CBAV
Materiais Básicos,Materiais Básicos,CSNMINERACAO,CMIN
Materiais Básicos,Materiais Básicos,LITEL       ,LTEL
Materiais Básicos,Materiais Básicos,LITELA,LTLA
Materiais Básicos,Materiais Básicos,VALE        ,VALE
Materiais Básicos,Siderurgia e Metalurgia,FERBASA     ,FESA
Materiais Básicos,Siderurgia e Metalurgia,GERDAU      ,GGBR
Materiais Básicos,Siderurgia e Metalurgia,GERDAU MET  ,GOAU
Materiais Básicos,Siderurgia e Metalurgia,SID NACIONAL,CSNA
Materiais Básicos,Siderurgia e Metalurgia,USIMINAS    ,USIM
Materiais Básicos,Siderurgia e Metalurgia,MANGELS INDL,MGEL
Materiais Básicos,Siderurgia e Metalurgia,PANATLANTICA,PATI
Materiais Básicos,Siderurgia e Metalurgia,TEKNO       ,TKNO
Materiais Básicos,Siderurgia e Metalurgia,PARANAPANEMA,PMAM
Materiais Básicos,Químicos,BRASKEM     ,BRKM
Materiais Básicos,Químicos,DEXXOS PAR,DEXP
Materiais Básicos,Químicos,FER HERINGER,FHER
Materiais Básicos,Químicos,NUTRIPLANT  ,NUTR
